trip_id,passenger_id,entry_station,exit_station,trip_datetime,fare
39,1595,1,8,2024-02-28 22:57:00,33.46
40,1503,6,7,2024-02-15 15:18:00,18.38
41,1424,10,5,2024-03-13 14:03:00,41.47
42,1185,3,10,2024-01-07 15:51:00,46.87
43,56,5,8,2024-01-11 10:32:00,13.84
44,1606,5,3,2024-03-19 14:17:00,52.89
45,30,2,10,2024-01-23 10:42:00,32.33
46,1655,3,5,2024-03-30 13:31:00,19.04
47,1081,1,6,2024-01-11 10:38:00,56.7
48,316,8,7,2024-02-19 13:42:00,32.01
49,1306,3,4,2024-03-14 17:03:00,42.11
50,1548,2,1,2024-01-22 20:25:00,33.81
51,976,9,4,2024-02-18 18:30:00,23.13
52,1087,7,1,2024-02-06 20:24:00,43.92
53,1970,9,1,2024-01-13 17:54:00,31.59
54,1881,5,6,2024-02-04 14:51:00,14.91
55,1341,10,7,2024-02-29 13:46:00,43.59
56,1578,4,9,2024-02-13 11:20:00,37.38
57,1378,1,2,2024-01-02 19:06:00,36.26
58,1404,8,6,2024-01-29 15:16:00,19.65
59,49,10,2,2024-01-08 12:38:00,41.9
60,1451,2,10,2024-01-17 18:42:00,48.19
61,1327,10,3,2024-01-15 11:16:00,24.73
62,1353,2,8,2024-02-05 19:44:00,55.17
63,1577,6,5,2024-01-21 08:17:00,48.86
64,784,7,6,2024-01-08 14:52:00,23.23
65,903,2,8,2024-01-26 18:11:00,42.27
66,223,3,9,2024-02-25 12:39:00,42.17
67,1870,8,5,2024-01-14 07:04:00,13.52
68,1491,5,8,2024-01-03 21:09:00,42.64
69,2,1,7,2024-02-04 10:44:00,26.49
70,802,10,1,2024-03-06 21:30:00,31.8
71,1729,2,9,2024-01-29 06:24:00,57.71
72,1676,8,2,2024-03-13 17:21:00,44.09
73,821,1,2,2024-02-16 16:05:00,52.06
74,1558,5,4,2024-01-23 07:24:00,43.04
75,613,7,2,2024-03-21 17:31:00,14.24
76,1296,8,4,2024-01-18 07:12:00,11.27
77,1215,4,8,2024-02-19 08:50:00,37.03
78,631,8,9,2024-02-27 06:02:00,26.96
79,692,1,7,2024-01-16 12:51:00,42.69
80,1072,8,9,2024-01-20 13:59:00,13.6
81,1507,3,8,2024-03-24 06:30:00,55.36
82,1267,1,4,2024-03-30 10:00:00,18.61
83,103,5,2,2024-02-28 11:53:00,39.55
84,1675,2,8,2024-03-17 13:04:00,50.22
85,873,6,7,2024-02-11 09:43:00,38.8
86,282,6,4,2024-01-06 11:21:00,13.16
87,561,3,7,2024-01-22 17:35:00,18.25
88,499,10,1,2024-01-18 09:50:00,52.37
89,1255,7,3,2024-01-03 21:05:00,10.32
90,368,2,10,2024-02-06 19:44:00,50.37
91,1583,8,3,2024-01-27 10:40:00,23.55
92,923,7,4,2024-01-23 07:38:00,19.0
93,1024,10,2,2024-03-21 15:22:00,30.94
94,1143,4,2,2024-03-08 09:39:00,28.1
95,1559,9,4,2024-02-29 12:17:00,12.65
96,231,3,8,2024-03-04 11:10:00,43.51
97,89,1,6,2024-02-06 12:27:00,22.57
98,1264,8,1,2024-01-14 07:59:00,36.87
99,324,1,8,2024-03-06 09:04:00,54.75
100,1478,8,10,2024-03-15 16:26:00,19.94
101,1387,6,4,2024-01-15 16:14:00,14.9
102,1511,7,4,2024-02-18 13:04:00,33.55
103,993,1,7,2024-01-19 12:59:00,40.47
104,365,7,6,2024-01-18 20:46:00,19.71
105,735,5,4,2024-02-12 10:02:00,44.61
106,123,5,3,2024-01-15 20:29:00,30.91
107,1558,6,4,2024-02-07 11:50:00,49.73
108,1952,10,3,2024-03-14 13:05:00,30.58
109,1069,8,4,2024-03-16 21:53:00,33.14
110,30,7,4,2024-02-01 16:27:00,38.97
111,1827,10,3,2024-03-14 06:26:00,59.01
112,83,8,9,2024-01-05 19:33:00,29.72
113,1659,2,8,2024-03-04 13:05:00,37.92
114,26,7,4,2024-01-17 17:18:00,21.95
115,186,1,8,2024-03-26 15:10:00,45.17
116,1758,10,1,2024-02-28 20:49:00,16.93
117,1441,7,3,2024-02-17 20:45:00,41.67
118,1763,2,7,2024-03-29 16:33:00,11.64
119,873,5,10,2024-03-10 12:50:00,44.23
120,1271,6,1,2024-03-06 17:56:00,12.58
121,785,6,8,2024-03-20 07:23:00,28.32
122,1328,9,2,2024-03-12 12:08:00,59.06
123,489,9,2,2024-03-24 21:47:00,56.96
124,1189,4,6,2024-02-15 14:32:00,44.01
125,568,1,2,2024-02-17 17:28:00,34.31
126,1079,2,8,2024-03-31 15:28:00,41.05
127,1639,2,4,2024-02-28 08:05:00,29.53
128,367,5,2,2024-01-14 11:17:00,15.6
129,304,8,3,2024-01-27 22:40:00,11.13
130,854,9,3,2024-03-01 17:26:00,32.19
131,1321,1,5,2024-01-25 08:01:00,53.59
132,476,9,6,2024-02-22 16:41:00,42.3
133,669,8,10,2024-03-26 22:53:00,37.42
134,938,5,10,2024-01-17 15:10:00,49.46
135,465,8,6,2024-02-06 07:09:00,27.66
136,934,3,10,2024-01-21 15:11:00,58.66
137,1719,3,4,2024-01-15 07:20:00,38.73
138,903,5,6,2024-01-24 12:35:00,45.36
139,1364,6,3,2024-02-17 20:34:00,58.77
140,1093,5,2,2024-01-04 18:59:00,34.97
141,298,8,6,2024-01-20 06:47:00,37.31
142,1040,6,5,2024-03-01 15:48:00,59.03
143,1175,3,10,2024-02-26 16:44:00,15.62
144,981,1,3,2024-03-27 09:19:00,11.24
145,1265,4,8,2024-02-15 08:20:00,12.75
146,1314,4,10,2024-03-08 13:50:00,56.78
147,570,4,1,2024-01-11 20:43:00,43.58
148,179,9,7,2024-01-25 21:20:00,40.16
149,1048,1,6,2024-02-20 10:45:00,52.69
150,758,7,6,2024-01-02 15:22:00,27.57
151,913,9,2,2024-01-28 20:47:00,59.63
152,1646,8,5,2024-01-21 19:46:00,54.82
153,286,10,2,2024-01-19 12:19:00,33.73
154,1777,9,6,2024-01-09 18:05:00,10.33
155,1309,5,7,2024-01-23 20:45:00,38.4
156,1874,3,4,2024-01-24 18:18:00,37.69
157,87,5,10,2024-02-08 21:35:00,46.99
158,460,1,3,2024-02-03 15:40:00,51.71
159,968,2,5,2024-02-23 11:31:00,55.34
160,1321,4,1,2024-01-16 14:31:00,59.72
161,137,10,6,2024-03-15 21:36:00,31.8
162,529,8,2,2024-02-17 22:46:00,38.76
163,1732,5,3,2024-03-15 07:09:00,25.98
164,1799,3,6,2024-01-21 07:17:00,28.06
165,1304,6,1,2024-02-07 15:33:00,41.95
166,158,9,4,2024-03-21 11:48:00,14.73
167,1542,3,9,2024-02-11 16:52:00,52.25
168,1639,5,6,2024-01-13 17:52:00,17.19
169,281,9,5,2024-02-17 21:26:00,27.02
170,1866,3,2,2024-01-28 10:32:00,21.06
171,386,9,10,2024-03-29 22:54:00,36.6
172,1129,2,7,2024-02-28 08:07:00,50.94
173,1892,1,8,2024-02-14 15:44:00,28.13
174,1674,8,10,2024-03-07 16:11:00,45.49
175,59,2,4,2024-01-17 10:44:00,21.33
176,257,4,3,2024-01-11 19:44:00,48.15
177,229,2,1,2024-03-02 19:02:00,19.82
178,68,9,10,2024-01-08 21:07:00,55.43
179,89,2,5,2024-03-26 06:48:00,14.83
180,254,10,4,2024-03-16 12:11:00,43.53
181,60,2,3,2024-02-05 17:22:00,18.03
182,1026,10,4,2024-03-05 08:06:00,50.98
183,1564,1,9,2024-01-28 12:18:00,18.59
184,1545,9,1,2024-01-13 12:58:00,35.21
185,1450,8,6,2024-03-30 11:28:00,43.68
186,220,3,6,2024-02-18 19:13:00,35.71
187,835,2,6,2024-01-16 20:07:00,35.99
188,1016,6,5,2024-03-12 07:05:00,26.41
189,237,7,5,2024-02-28 15:43:00,58.81
190,910,4,9,2024-02-22 15:54:00,31.4
191,1755,2,8,2024-03-27 17:11:00,10.64
192,1381,8,2,2024-02-20 20:33:00,42.93
193,175,2,3,2024-02-20 18:44:00,39.53
194,209,3,2,2024-02-16 12:21:00,20.01
195,1729,7,2,2024-01-30 19:46:00,34.96
196,1567,10,5,2024-03-23 18:22:00,33.79
197,1236,7,8,2024-03-06 14:09:00,48.4
198,222,2,5,2024-03-03 21:14:00,41.42
199,276,1,2,2024-01-07 08:31:00,43.91
200,1991,3,7,2024-03-18 16:09:00,25.14
201,1277,2,9,2024-03-04 20:12:00,24.68
202,1020,8,9,2024-02-03 16:51:00,52.98
203,1120,1,7,2024-01-16 18:28:00,25.73
204,771,8,1,2024-01-05 11:35:00,42.97
205,1597,5,3,2024-03-03 19:08:00,25.62
206,797,8,2,2024-03-13 21:42:00,37.69
207,1105,10,8,2024-03-01 11:32:00,12.79
208,540,8,10,2024-02-18 17:49:00,58.89
209,657,1,10,2024-01-06 10:53:00,28.32
210,1658,10,1,2024-03-21 16:24:00,14.87
211,707,6,7,2024-02-14 07:42:00,22.21
212,481,5,10,2024-01-11 08:55:00,25.25
213,692,3,1,2024-03-09 16:02:00,33.05
214,1769,7,10,2024-03-06 19:17:00,11.02
215,962,10,1,2024-02-10 18:36:00,29.52
216,1173,2,8,2024-01-13 12:21:00,34.84
217,1662,6,3,2024-03-19 15:23:00,58.47
218,414,8,2,2024-03-09 12:18:00,23.26
219,609,10,7,2024-01-29 08:45:00,52.21
220,195,10,6,2024-02-04 08:36:00,50.06
221,974,7,4,2024-02-14 08:41:00,51.19
222,1034,5,7,2024-03-25 16:12:00,30.72
223,515,10,9,2024-02-28 11:56:00,10.93
224,1441,9,3,2024-03-14 21:13:00,43.04
225,1688,8,5,2024-03-22 19:59:00,38.31
226,1284,1,9,2024-01-26 17:29:00,17.39
227,309,5,7,2024-02-22 16:55:00,51.51
228,132,4,7,2024-02-04 15:41:00,18.03
229,1407,10,4,2024-02-21 13:07:00,17.5
230,57,4,5,2024-02-29 21:35:00,59.56
231,865,1,4,2024-01-21 14:08:00,11.46
232,1618,5,9,2024-01-23 07:46:00,34.29
233,41,1,2,2024-02-10 15:55:00,13.18
234,1957,7,6,2024-03-26 08:25:00,57.16
235,1484,3,4,2024-01-15 22:59:00,16.03
236,1361,10,9,2024-02-02 21:56:00,14.51
237,1229,2,6,2024-02-12 18:51:00,47.42
238,484,7,4,2024-01-19 09:11:00,20.71
239,563,8,7,2024-02-02 07:31:00,36.67
240,1433,2,6,2024-03-10 19:30:00,44.14
241,1973,5,3,2024-02-16 21:45:00,28.39
242,632,1,10,2024-01-05 07:44:00,55.87
243,1376,4,5,2024-03-11 18:19:00,41.95
244,1435,6,2,2024-03-09 13:54:00,32.12
245,17,7,5,2024-02-08 08:59:00,51.14
246,483,5,4,2024-01-21 20:40:00,25.86
247,1664,7,1,2024-02-05 08:52:00,48.97
248,1007,8,7,2024-02-12 19:56:00,55.93
249,206,3,5,2024-03-05 08:22:00,31.04
250,1494,9,6,2024-02-28 06:48:00,12.6
251,1314,3,8,2024-03-23 10:00:00,30.03
252,1287,5,6,2024-03-14 08:07:00,17.89
253,1058,3,10,2024-03-28 19:50:00,56.97
254,925,8,3,2024-02-03 11:43:00,39.65
255,671,5,4,2024-01-11 19:23:00,19.09
256,1795,7,10,2024-01-29 06:01:00,56.16
257,1326,10,4,2024-01-12 20:12:00,23.09
258,1745,3,1,2024-02-21 19:38:00,23.01
259,183,6,3,2024-03-13 09:00:00,45.93
260,892,8,2,2024-01-29 12:12:00,57.3
261,1666,5,8,2024-02-18 10:27:00,52.82
262,1229,4,5,2024-03-27 12:26:00,19.02
263,1623,3,1,2024-02-07 14:15:00,40.88
264,1859,4,6,2024-03-15 20:05:00,10.52
265,273,6,7,2024-03-28 12:45:00,29.17
266,867,10,5,2024-01-10 09:35:00,12.94
267,682,4,8,2024-02-15 07:00:00,22.68
268,1270,7,5,2024-02-20 17:08:00,58.4
269,1146,1,10,2024-01-23 14:10:00,35.19
270,1906,6,8,2024-01-17 08:20:00,45.51
271,887,3,5,2024-01-15 16:02:00,58.93
272,1023,5,6,2024-02-25 15:57:00,53.85
273,1256,5,9,2024-02-10 19:57:00,18.25
274,1510,8,3,2024-03-12 20:03:00,19.45
275,112,4,3,2024-01-05 21:16:00,18.18
276,957,7,2,2024-03-04 07:28:00,27.83
277,1453,9,8,2024-02-28 21:07:00,52.29
278,1776,3,2,2024-02-14 08:13:00,53.41
279,370,3,9,2024-02-04 12:37:00,59.9
280,9,9,10,2024-01-24 19:58:00,13.84
281,1574,8,2,2024-02-12 06:18:00,44.07
282,1394,2,7,2024-02-17 09:53:00,26.18
283,60,2,8,2024-03-31 21:29:00,41.42
284,552,10,1,2024-02-12 07:41:00,41.12
285,928,6,10,2024-01-17 12:55:00,12.43
286,1319,5,6,2024-01-08 08:35:00,57.6
287,782,2,7,2024-02-02 11:15:00,58.25
288,1773,7,2,2024-01-03 12:10:00,29.43
289,825,5,3,2024-01-16 15:31:00,50.06
290,1508,5,10,2024-01-17 17:42:00,14.81
291,753,9,4,2024-03-03 20:56:00,29.4
292,550,10,7,2024-01-12 19:51:00,28.41
293,382,7,2,2024-01-06 22:21:00,58.66
294,1386,4,3,2024-03-04 22:40:00,42.36
295,172,5,8,2024-02-25 08:58:00,50.08
296,616,3,5,2024-02-01 22:27:00,24.77
297,98,9,2,2024-01-06 22:06:00,35.53
298,846,2,8,2024-03-25 14:22:00,22.74
299,168,9,1,2024-01-15 20:11:00,49.31
300,1727,7,1,2024-01-11 19:56:00,45.22
301,643,10,8,2024-03-26 20:39:00,50.39
302,700,3,4,2024-01-24 08:47:00,59.11
303,532,2,7,2024-03-09 06:00:00,29.75
304,28,3,8,2024-02-28 18:55:00,42.89
305,1525,10,8,2024-02-08 17:44:00,43.69
306,1414,7,5,2024-01-12 10:08:00,10.69
307,230,1,4,2024-01-04 12:30:00,42.43
308,1331,4,7,2024-03-21 12:05:00,25.05
309,950,3,8,2024-02-24 06:07:00,18.31
310,313,8,1,2024-02-27 13:12:00,24.74
311,1699,7,1,2024-02-12 06:06:00,41.52
312,1461,7,8,2024-03-15 15:02:00,34.37
313,996,9,10,2024-03-19 21:14:00,45.71
314,1082,1,7,2024-03-14 16:35:00,13.18
315,1829,7,8,2024-01-15 21:39:00,56.95
316,711,8,7,2024-01-03 11:18:00,46.31
317,962,6,8,2024-01-30 22:14:00,39.38
318,1403,6,10,2024-03-25 20:08:00,54.16
319,1481,7,6,2024-03-01 11:39:00,20.36
320,1415,2,8,2024-01-17 11:12:00,17.82
321,1008,2,7,2024-03-04 15:15:00,20.47
322,97,1,6,2024-02-03 17:43:00,17.93
323,1696,9,1,2024-01-09 16:27:00,15.7
324,465,2,9,2024-01-29 21:16:00,59.68
325,1608,6,1,2024-03-12 14:57:00,17.56
326,1414,9,10,2024-03-26 09:45:00,12.52
327,1938,8,2,2024-01-14 09:52:00,38.12
328,1039,2,3,2024-03-21 09:55:00,20.27
329,741,3,5,2024-03-31 20:48:00,35.29
330,1501,2,3,2024-03-23 17:21:00,50.96
331,252,4,8,2024-02-23 06:15:00,51.74
332,971,6,5,2024-03-05 11:05:00,23.3
333,1465,7,6,2024-03-21 13:09:00,47.66
334,1085,7,4,2024-01-18 19:26:00,55.9
335,1840,8,9,2024-03-28 17:01:00,32.13
336,1578,1,9,2024-01-09 08:21:00,25.74
337,1582,3,7,2024-01-08 18:48:00,11.85
338,1890,3,10,2024-01-08 22:18:00,30.97
339,1815,9,5,2024-02-10 17:00:00,51.35
340,1844,9,10,2024-01-19 18:28:00,42.19
341,1818,9,10,2024-03-20 20:44:00,27.26
342,1663,7,4,2024-02-08 08:02:00,36.87
343,799,3,9,2024-03-10 15:13:00,14.64
344,1131,5,9,2024-02-13 11:01:00,11.39
345,1632,9,10,2024-02-03 13:53:00,48.71
346,1488,7,9,2024-01-15 07:53:00,28.65
347,1285,9,6,2024-01-16 07:48:00,42.55
348,256,8,5,2024-03-14 06:29:00,26.95
349,484,10,9,2024-03-17 13:22:00,24.96
350,1366,10,3,2024-02-18 22:47:00,22.38
351,672,9,10,2024-01-25 17:29:00,14.9
352,1458,7,2,2024-01-12 07:27:00,54.43
353,976,4,8,2024-01-10 17:43:00,36.31
354,1205,9,7,2024-02-03 21:40:00,31.17
355,902,8,7,2024-01-21 10:32:00,16.36
356,1457,8,3,2024-03-31 22:55:00,36.46
357,1423,4,8,2024-03-01 07:47:00,17.84
358,1145,6,2,2024-03-18 19:07:00,16.04
359,1171,5,1,2024-03-07 10:07:00,28.57
360,767,5,8,2024-01-04 10:09:00,49.19
361,864,1,5,2024-02-06 12:11:00,50.96
362,1002,1,2,2024-03-11 17:04:00,53.52
363,856,8,10,2024-02-09 20:57:00,26.89
364,773,8,10,2024-01-17 10:32:00,41.82
365,1560,8,3,2024-02-11 08:51:00,41.24
366,1278,7,4,2024-02-20 16:34:00,12.29
367,1374,8,5,2024-03-23 08:55:00,18.28
368,51,10,5,2024-03-12 09:41:00,37.97
369,395,10,9,2024-03-14 07:36:00,36.09
370,1538,8,9,2024-01-03 09:42:00,56.81
371,369,1,5,2024-01-27 13:53:00,45.28
372,1818,10,8,2024-01-11 16:25:00,39.44
373,1007,1,6,2024-02-25 11:26:00,11.2
374,1082,6,7,2024-02-02 08:07:00,58.99
375,1110,3,5,2024-01-19 11:16:00,48.42
376,316,5,7,2024-03-27 11:03:00,40.72
377,667,3,1,2024-01-08 15:24:00,14.94
378,292,7,6,2024-02-03 18:52:00,54.98
379,107,4,10,2024-03-16 13:31:00,35.43
380,1034,7,2,2024-02-04 07:20:00,33.24
381,834,2,8,2024-01-04 19:40:00,21.69
382,1815,1,5,2024-03-11 09:15:00,48.15
383,1335,3,5,2024-03-13 19:28:00,14.2
384,1303,9,4,2024-01-19 17:34:00,59.27
385,1602,4,9,2024-02-24 20:02:00,10.05
386,952,10,5,2024-03-24 11:00:00,13.01
387,1888,8,5,2024-03-17 14:53:00,44.0
388,720,4,10,2024-03-06 15:02:00,18.07
389,1094,10,2,2024-02-08 08:25:00,44.92
390,1701,3,9,2024-02-05 19:13:00,40.52
391,1961,6,5,2024-03-31 20:17:00,22.3
392,659,6,4,2024-02-28 16:01:00,55.7
393,274,1,10,2024-03-01 06:57:00,10.48
394,356,7,9,2024-03-30 21:48:00,29.64
395,167,2,9,2024-01-04 20:43:00,16.17
396,1991,7,10,2024-02-15 18:11:00,51.96
397,1663,1,2,2024-02-29 17:59:00,19.65
398,20,4,1,2024-02-05 17:12:00,14.5
399,1257,5,4,2024-01-30 21:23:00,11.84
400,1010,10,4,2024-01-01 12:52:00,41.92
401,228,5,10,2024-03-05 21:10:00,37.59
402,1352,10,3,2024-01-09 10:47:00,13.25
403,532,10,4,2024-03-07 14:12:00,52.38
404,48,9,10,2024-02-02 20:00:00,56.89
405,1313,1,6,2024-02-25 19:17:00,16.09
406,1062,8,6,2024-03-07 07:56:00,46.06
407,97,5,7,2024-03-09 20:20:00,10.26
408,399,6,2,2024-03-14 06:47:00,21.28
409,1413,7,2,2024-02-01 12:10:00,26.46
410,129,2,1,2024-03-02 19:51:00,11.2
411,1633,6,5,2024-02-01 09:30:00,21.92
412,698,1,6,2024-03-07 13:04:00,48.79
413,1269,8,2,2024-03-21 20:37:00,16.24
414,1996,1,7,2024-02-10 08:50:00,16.38
415,1883,8,1,2024-02-08 19:04:00,15.09
416,115,9,1,2024-02-07 18:25:00,14.79
417,1541,7,4,2024-03-17 06:29:00,29.2
418,1629,7,10,2024-03-20 09:21:00,42.55
419,1384,1,8,2024-03-07 16:37:00,19.62
420,211,1,10,2024-01-09 12:57:00,38.66
421,1306,9,5,2024-02-15 19:30:00,46.23
422,911,3,4,2024-01-18 07:03:00,16.38
423,1198,7,9,2024-03-24 17:19:00,39.18
424,1109,3,8,2024-02-09 16:18:00,28.44
425,17,9,10,2024-03-25 10:03:00,21.87
426,1678,9,1,2024-02-24 17:12:00,58.83
427,1312,4,2,2024-02-13 12:42:00,33.79
428,1417,8,10,2024-03-29 16:54:00,38.92
429,1973,6,10,2024-02-08 19:21:00,18.11
430,931,1,8,2024-01-29 06:40:00,21.15
431,472,8,10,2024-01-28 13:30:00,46.73
432,1951,6,7,2024-01-27 18:11:00,51.3
433,14,6,1,2024-01-10 17:01:00,37.73
434,292,5,8,2024-01-25 17:02:00,58.77
435,408,4,5,2024-01-23 13:56:00,23.1
436,357,6,9,2024-02-01 11:12:00,11.07
437,1727,5,2,2024-01-03 10:24:00,42.74
438,1813,2,6,2024-01-27 15:29:00,22.01
439,1658,6,3,2024-03-08 19:56:00,45.55
440,243,3,4,2024-01-25 18:44:00,28.71
441,1228,7,4,2024-01-06 12:54:00,36.77
442,1618,3,6,2024-02-01 07:40:00,49.78
443,1788,3,9,2024-03-15 21:13:00,46.36
444,1607,8,10,2024-01-09 11:32:00,29.41
445,1808,9,6,2024-03-04 22:29:00,18.95
446,1460,6,9,2024-03-29 21:45:00,57.79
447,971,5,10,2024-02-21 07:13:00,20.98
448,416,8,4,2024-02-20 12:19:00,31.25
449,773,10,3,2024-02-17 14:35:00,14.24
450,1540,2,5,2024-02-26 22:22:00,21.51
451,85,8,9,2024-03-20 16:27:00,32.56
452,886,7,6,2024-03-04 16:17:00,29.12
453,368,8,4,2024-02-03 08:22:00,55.07
454,604,9,2,2024-02-05 13:06:00,15.93
455,738,1,9,2024-01-26 16:12:00,43.76
456,513,5,4,2024-03-31 10:54:00,47.62
457,1516,9,5,2024-01-02 15:18:00,51.12
458,1604,7,10,2024-03-24 06:30:00,42.7
459,1559,3,7,2024-01-30 13:46:00,47.46
460,972,4,9,2024-03-16 20:46:00,50.72
461,698,2,6,2024-01-25 19:49:00,57.1
462,856,4,8,2024-02-27 06:23:00,16.95
463,1790,3,5,2024-01-02 21:51:00,42.94
464,727,6,4,2024-02-23 19:43:00,47.63
465,1563,9,5,2024-02-11 06:36:00,49.27
466,1889,3,6,2024-03-13 18:24:00,20.21
467,801,2,9,2024-02-19 12:30:00,15.43
468,1167,8,5,2024-01-12 11:06:00,43.74
469,364,1,10,2024-03-03 06:11:00,19.95
470,1867,7,5,2024-01-27 13:18:00,42.98
471,144,8,1,2024-02-17 22:00:00,18.59
472,1761,7,3,2024-01-15 10:34:00,30.92
473,1522,2,7,2024-01-27 10:55:00,20.28
474,886,8,3,2024-03-18 15:37:00,20.15
475,1468,8,5,2024-01-26 06:09:00,32.29
476,1689,7,10,2024-02-01 22:21:00,55.52
477,1801,8,10,2024-01-06 08:18:00,42.31
478,1882,8,6,2024-03-30 15:25:00,40.65
479,1659,3,7,2024-02-01 11:57:00,40.89
480,885,8,7,2024-03-25 11:44:00,38.43
481,806,1,4,2024-01-21 14:56:00,41.4
482,598,2,4,2024-03-04 19:48:00,37.64
483,756,2,9,2024-02-11 19:28:00,18.24
484,425,9,1,2024-02-29 06:04:00,41.94
485,1384,8,7,2024-02-13 18:54:00,19.72
486,78,1,5,2024-01-15 10:20:00,43.51
487,951,8,2,2024-01-11 13:45:00,57.5
488,288,8,5,2024-01-21 11:53:00,10.9
489,206,3,5,2024-01-16 18:10:00,13.88
490,1564,1,5,2024-01-20 20:22:00,18.9
491,1464,1,9,2024-01-28 20:44:00,12.39
492,1301,9,2,2024-02-19 15:28:00,12.62
493,10,1,7,2024-01-26 13:23:00,55.44
494,410,2,1,2024-02-23 06:00:00,26.86
495,394,2,4,2024-01-13 11:46:00,18.35
496,852,9,2,2024-02-11 16:35:00,41.34
497,1280,4,9,2024-02-20 19:07:00,21.62
498,217,6,3,2024-01-02 18:41:00,25.81
499,798,4,8,2024-01-29 08:42:00,50.75
500,1332,10,6,2024-01-06 08:56:00,20.93
501,618,10,8,2024-01-14 11:16:00,57.95
502,1229,6,7,2024-03-27 10:21:00,18.77
503,1560,6,8,2024-01-09 16:01:00,40.43
504,1199,8,7,2024-03-06 13:32:00,39.37
505,28,4,1,2024-03-19 09:19:00,21.82
506,878,4,10,2024-01-11 07:08:00,28.73
507,608,4,3,2024-02-18 12:41:00,11.9
508,1892,10,8,2024-02-12 10:17:00,25.88
509,1612,1,9,2024-02-23 15:48:00,11.18
510,1735,6,4,2024-01-27 07:58:00,55.88
511,509,4,10,2024-02-18 22:20:00,19.18
512,1290,1,2,2024-03-03 08:12:00,12.61
513,290,4,3,2024-01-12 11:37:00,37.44
514,1629,4,9,2024-01-11 19:46:00,33.35
515,337,4,7,2024-01-23 13:19:00,24.27
516,919,4,5,2024-03-02 08:23:00,29.91
517,344,8,7,2024-03-05 19:48:00,17.79
518,1954,8,1,2024-02-18 19:54:00,14.16
519,1857,5,10,2024-03-09 10:35:00,46.33
520,527,7,8,2024-02-09 20:18:00,28.76
521,1242,8,2,2024-02-12 10:45:00,33.46
522,317,4,1,2024-01-02 22:46:00,46.27
523,1007,7,6,2024-02-19 21:19:00,42.05
524,1205,2,7,2024-01-05 09:24:00,56.61
525,333,4,7,2024-02-02 17:32:00,45.46
526,1301,6,1,2024-03-24 18:59:00,31.2
527,506,4,8,2024-01-05 17:40:00,45.33
528,58,3,5,2024-03-18 20:43:00,17.37
529,507,10,3,2024-01-02 09:49:00,14.62
530,1458,7,10,2024-01-11 22:58:00,19.44
531,867,3,7,2024-02-02 15:32:00,58.38
532,1349,7,10,2024-02-09 19:48:00,53.82
533,1491,2,10,2024-02-14 10:17:00,47.44
534,1905,7,5,2024-01-01 11:52:00,34.59
535,199,2,7,2024-03-08 19:41:00,24.42
536,883,3,6,2024-01-24 10:12:00,34.32
537,1030,2,8,2024-03-13 12:11:00,20.05
538,1536,3,4,2024-02-03 19:28:00,41.34
539,1279,2,3,2024-01-11 15:05:00,28.89
540,567,2,6,2024-01-04 13:30:00,34.26
541,1558,2,1,2024-01-08 14:48:00,57.76
542,1363,10,1,2024-01-13 12:33:00,49.59
543,770,10,9,2024-02-04 21:30:00,47.85
544,1238,7,6,2024-02-17 16:20:00,50.84
545,1928,6,7,2024-02-18 07:22:00,53.65
